province,points,price,lat,lon,province average points,province average price,province average utility,price dollars
Montevideo,88.27,26.09090909090909,-34.9011127,-56.16453139999999,88.27272727272727,26.090909090909086,3.38,$26.09
Moravia,87.25,24.25,42.73248030000001,-76.43316979999999,87.25,24.25,3.60,$24.25
Morocco,88.67,21.0,31.791701999999997,-7.092619999999999,88.66666666666667,21.0,4.22,$21.00
Moscatel de Setí_bal,89.83,16.833333333333332,38.5254047,-8.8941,89.83333333333333,16.833333333333332,5.34,$16.83
Mosel,90.04,35.380254154447705,43.849289099999254,-87.74485570000144,90.04007820136992,35.38025415444746,2.54,$35.38
Mosel-Saar-Ruwer,89.77,46.40594059405941,49.75266000000008,6.647349999999995,89.7722772277229,46.40594059405939,1.93,$46.41
Moselle Luxembourgeoise,88.67,23.333333333333332,49.815273,6.129582999999999,88.66666666666667,23.333333333333332,3.80,$23.33
Mostar,86.50,12.5,43.34377480000001,17.8077578,86.5,12.5,6.92,$12.50
Mount Athos,87.50,27.5,40.2644928,24.2152731,87.5,27.5,3.18,$27.50
Murfatlar,86.71,13.285714285714286,44.17355179999999,28.410547900000005,86.7142857142857,13.285714285714288,6.53,$13.29
Muscat of Kefallonian,87.00,30.0,38.1753675,20.5692179,87.0,30.0,2.90,$30.00
Muscat of Patras,86.00,11.0,38.196911,21.769676,86.0,11.0,7.82,$11.00
Muzla,87.00,16.0,47.7922734,18.5974801,87.0,16.0,5.44,$16.00
Nahe,89.45,43.9625,49.765242999999934,7.443732399999999,89.44999999999989,43.962500000000055,2.03,$43.96
Naoussa,86.96,20.458333333333332,37.12357429999998,25.238722000000006,86.95833333333331,20.458333333333325,4.25,$20.46
Nashik,90.22,13.333333333333334,19.9974533,73.7898023,90.22222222222223,13.333333333333332,6.77,$13.33
Negev,87.33,12.0,30.7140861,34.8757476,87.33333333333333,12.0,7.28,$12.00
Negev Hills,84.60,29.2,30.714086099999996,34.8757476,84.6,29.2,2.90,$29.20
Nelson,87.53,21.944444444444443,39.04496779999999,-94.5809233,87.52777777777781,21.944444444444454,3.99,$21.94
Nemea,87.04,25.15686274509804,37.821329999999996,22.66099799999999,87.03921568627449,25.15686274509804,3.46,$25.16
Neusiedlersee,88.64,30.90909090909091,47.8650427,16.7775594,88.63636363636364,30.909090909090914,2.87,$30.91
Nevada,84.25,37.75,38.8026097,-116.419389,84.25,37.75,2.23,$37.75
New Jersey,84.00,25.5,40.05832379999999,-74.4056612,84.0,25.5,3.29,$25.50
New Mexico,83.96,22.42222222222222,34.51994020000001,-105.8700901000001,83.95555555555562,22.42222222222222,3.74,$22.42
New South Wales,87.69,25.623529411764707,-31.25321829999999,146.9210989999998,87.6941176470589,25.623529411764647,3.42,$25.62
New York,87.18,22.826233183856502,40.71277529999851,-74.00597279999825,87.18124065769527,22.826233183856043,3.82,$22.83
New Zealand,86.50,16.25,-40.900557,174.88597099999996,86.5,16.25,5.32,$16.25
North Carolina,84.57,21.0,35.759573100000004,-79.01929969999996,84.56521739130432,21.0,4.03,$21.00
Northeastern Italy,88.04,27.047834843907353,42.33980669999969,-71.08917170000224,88.03524672708795,27.047834843906596,3.25,$27.05
Northern Cape,85.00,10.5,-29.0466808,21.8568586,85.0,10.5,8.10,$10.50
Northern Spain,87.42,30.771925204108506,43.26358830000172,-2.929067900000008,87.4205952067335,30.771925204110094,2.84,$30.77
Northwestern Italy,87.00,22.076923076923077,42.5048033,-83.31382239999996,87.0,22.076923076923073,3.94,$22.08
